Parts List	Designator	Value	Part Number	Digikey Number	Cost	MSA	Notes
Rev C	xx-alt	alternate	can be substituted				
9/8/2008	xx-opt	optional	"used or deleted, builder's choice"				
PLSLIM-MXR-2	C5						"Rev B, deleted 100 pf"
PLSLIM-MXR-2	C9						"Rev B, deleted 2 pf"
PLSLIM-MXR-2	C11	68 pF	ECJ-2VC1H680J	PCC680CGCT-ND	0.05	0.05	
PLSLIM-MXR-2	C16	68 pF	ECJ-2VC1H680J	PCC680CGCT-ND	0.05	0.05	
PLSLIM-MXR-2	C25	100 pF	C0805C101K5GACTU	399-1121-1-ND	0.05	0.05	
PLSLIM-MXR-2	J1-opt	SMA OPT	"Molex, 538-73391-0070"	WM5544-ND	4.74		
PLSLIM-MXR-2	J2-opt	SMA OPT	"Molex, 538-73391-0070"	WM5544-ND	4.74		
PLSLIM-MXR-2	J3-opt	SMA OPT	"Molex, 538-73391-0070"	WM5544-ND	4.74		
PLSLIM-MXR-2	L15	330 nH	PM0805-R33K	M1171CT-ND	0.53	0.53	
PLSLIM-MXR-2	L18	330 nH	PM0805-R33K	M1171CT-ND	0.53	0.53	
PLSLIM-MXR-2	R1	330	MCR10EZHF330	RHM330CCT-ND	0.04	0.04	"Rev C, Digi # error"
PLSLIM-MXR-2	R5	15	MCR10EZHF15.0	RHM15.0CCT-ND	0.04	0.04	"Rev C, Digi # error"
PLSLIM-MXR-2	R9	330	MCR10EZHF330	RHM330CCT-ND	0.04	0.04	"Rev C, Digi # error"
PLSLIM-MXR-2	R17	49.9	MCR10EZHF49.9	RHM49.9CCT-ND	0.04	0.04
PLSLIM-MXR-2	MXR	ADE-11X	ADE-11X	Minicircuits	2.95	2.95
PLSLIM-MXR-2	PWB	Circuit Board	PWB-MXR-ADE		3.28	3.28
				PLSLIM-MXR-2	21.82	7.6
