Parts List	Designator	Value	Part Number	Digikey Number	Cost	MSA	Notes
Rev B	xx-alt	alternate	can be substituted				
9/8/2008	xx-opt	optional	"used or deleted, builder's choice"				
PLSLIM-MXR-4	C5						"Rev A, deleted 100 pf"
PLSLIM-MXR-4	C11	68 pF	ECJ-2VC1H680J	PCC680CGCT-ND	0.05	0.05	
PLSLIM-MXR-4	C16	68 pF	ECJ-2VC1H680J	PCC680CGCT-ND	0.05	0.05	
PLSLIM-MXR-4	C25						"Rev A, deleted 100 pf"
PLSLIM-MXR-4	J1-opt	SMA OPT	"Molex, 538-73391-0070"	WM5544-ND	4.74		
PLSLIM-MXR-4	J2-opt	SMA OPT	"Molex, 538-73391-0070"	WM5544-ND	4.74		
PLSLIM-MXR-4	J3-opt	SMA OPT	"Molex, 538-73391-0070"	WM5544-ND	4.74		
PLSLIM-MXR-4	L15	330 nH	PM0805-R33K	M1171CT-ND	0.53	0.53	
PLSLIM-MXR-4	L18	330 nH	PM0805-R33K	M1171CT-ND	0.53	0.53	
PLSLIM-MXR-4	R1	330	MCR10EZHF330	RHM330CCT-ND	0.04	0.04	"Rev B, Digi # error"
PLSLIM-MXR-4	R5	15	MCR10EZHF15.0	RHM15.0CCT-ND	0.04	0.04	"Rev B, Digi # error"
PLSLIM-MXR-4	R9	330	MCR10EZHF330	RHM330CCT-ND	0.04	0.04	"Rev B, Digi # error"
PLSLIM-MXR-4	R21	75	MCR10EZHF75.0	RHM75.0CCT-ND	0.04	0.04	"Rev A, added"
PLSLIM-MXR-4	R25	120	MCR10EZHF120	RHM120CCT-ND	0.04	0.04	"Rev A, added"
PLSLIM-MXR-4	R29	75	MCR10EZHF75.0	RHM75.0CCT-ND	0.04	0.04	"Rev A, added"
PLSLIM-MXR-4	R17	49.9	MCR10EZHF49.9	RHM49.9CCT-ND	0.04	0.04	
PLSLIM-MXR-4	MXR	ADE-11X	ADE-11X	Minicircuits	2.95	2.95	
PLSLIM-MXR-4	PWB	Circuit Board	PWB-MXR-ADE		3.28	3.28	
				PLSLIM-MXR-4	21.89	7.67	


							
							
							
